detection_type,filename,val_loss,val_psnr,val_ssim,num_features
Direct Detection,sa50n40by40and240m,0.0875817071646452,16.78555679321289,0.6690466552972794,300
Direct Detection,sa50n40by40and240m,0.09562099725008011,16.302138566970825,0.627849280834198,200
Direct Detection,sa50n40by40and240m,0.11916430480778217,15.167825698852539,0.5428571254014969,100
Direct Detection,sa50n40by40and240m,0.12056051380932331,15.237395524978638,0.5330643132328987,75
Direct Detection,sa50n40by40and240m,0.14516409114003181,14.511234045028687,0.4653046727180481,50
Direct Detection,sa50n40by40and240m,0.19506380707025528,13.197876214981079,0.32039907574653625,25
Direct Detection,sa50n40by40and240m,0.2066158875823021,12.913471460342407,0.28275950998067856,20
Direct Detection,sa50n40by40and240m,0.21704433113336563,12.834311962127686,0.2555590979754925,15
Direct Detection,sa50n40by40and240m,0.23158085718750954,12.515637874603271,0.21566025912761688,10
Direct Detection,sa50n40by40and240m,0.2085890956223011,12.929249286651611,0.25579264387488365,5
Direct Detection,sa50n40by40and240m,0.20614103972911835,13.135191440582275,0.2546922005712986,4
Direct Detection,sa50n40by40and240m,0.21075909957289696,12.960827827453613,0.22935781255364418,3
QPMS,s20fv40by40and240m,0.01830623811110854,24.036664962768555,0.9396344125270844,300
QPMS,s20fv40by40and240m,0.018710479605942965,24.127775192260742,0.9431570619344711,200
QPMS,s20fv40by40and240m,0.018591304775327444,24.048823356628418,0.9422965794801712,100
QPMS,s20fv40by40and240m,0.017987330444157124,24.42551326751709,0.9399052113294601,75
QPMS,s20fv40by40and240m,0.020760911516845226,23.524662971496582,0.9325719177722931,50
QPMS,s20fv40by40and240m,0.025388432200998068,22.50444507598877,0.9147021770477295,25
QPMS,s20fv40by40and240m,0.027573395986109972,22.02916431427002,0.9051968902349472,20
QPMS,s20fv40by40and240m,0.0319698927924037,21.25776243209839,0.8830469101667404,15
QPMS,s20fv40by40and240m,0.04392114654183388,19.64721918106079,0.8348841369152069,10
QPMS,s20fv40by40and240m,0.11566385440528393,15.007662773132324,0.5577796250581741,5
QPMS,s20fv40by40and240m,0.14931757748126984,14.149192810058594,0.4239046201109886,4
QPMS,s20fv40by40and240m,0.1716800481081009,13.79831600189209,0.3384145423769951,3
