detection_type,filename,val_loss,val_psnr,val_ssim
Direct Detection,100n40by40and240m,0.07754341699182987,17.12238359451294,0.7058399766683578
Direct Detection,37n40by40and240m,0.1511656418442726,13.799768209457397,0.4494115635752678
Direct Detection,50n40by40and240m,0.14876771345734596,13.819795370101929,0.46518221497535706
Direct Detection,62n40by40and240m,0.15904966741800308,13.803916215896606,0.4233672544360161
Direct Detection,75n40by40and240m,0.12427725084125996,15.06845760345459,0.5574317574501038
Direct Detection,87p5n40by40and240m,0.12852449528872967,14.884392738342285,0.5335120558738708
Direct Detection,a25n40by40and240m,0.17990535870194435,13.59570860862732,0.36251823604106903
QPMS,10fv40by40and240m,0.08029332384467125,16.89700984954834,0.727620467543602
QPMS,3fv40by40and240m,0.035206595435738564,20.726813793182373,0.8743416965007782
QPMS,7a5fv40by40and240m,0.08521781302988529,16.312490701675415,0.7122106850147247
QPMS,aa15fv40by40and240m,0.02640968421474099,22.266273021697998,0.9160150289535522
QPMS,aa20fv40by40and240m,0.02360599674284458,22.862675189971924,0.9229376167058945
QPMS,aa25fv40by40and240m,0.04616212099790573,19.535991191864014,0.8539668917655945
QPMS,aa30fv40by40and240m,0.03194340458139777,21.29001235961914,0.9024394899606705
QPMS,aa35fv40by40and240m,0.020958746317774057,23.445496559143066,0.9326866567134857
QPMS,aa40fv40by40and240m,0.024114519357681274,22.640493392944336,0.9188397973775864
QPMS,aa5fv40by40and240m,0.11480161547660828,15.144120693206787,0.6039224863052368
QPMS,aa6fv40by40and240m,0.11627340130507946,15.055663108825684,0.5842706114053726
