detection_type,filename,val_loss,val_psnr,val_ssim,int_time,dmd_time
Direct Detection,100n40by40and240m,0.06490774266421795,17.933073043823242,0.7661705166101456,100,800
Direct Detection,37n40by40and240m,0.12595251202583313,14.568860292434692,0.5317266881465912,37.5,300
Direct Detection,50n40by40and240m,0.1153979692608118,15.187593698501587,0.578023225069046,50,400
Direct Detection,62n40by40and240m,0.14707858487963676,14.265695810317993,0.45643532276153564,62.5,500
Direct Detection,75n40by40and240m,0.09491453506052494,16.03114366531372,0.6532041132450104,75,600
Direct Detection,87p5n40by40and240m,0.1096679475158453,15.338151931762695,0.6125102639198303,87.5,700
Direct Detection,a25n40by40and240m,0.14383957907557487,14.36429476737976,0.4726033881306648,25,200
QPMS,10fv40by40and240m,0.07746373303234577,17.021492958068848,0.738726407289505,10,200
QPMS,3fv40by40and240m,0.027249568607658148,22.051960468292236,0.9071000069379807,3,60
QPMS,5fv40by40and240m,0.03039115760475397,21.599806785583496,0.9022504687309265,5,100
QPMS,6fv40by40and240m,0.04997420962899923,19.16068983078003,0.8238205015659332,6,150
QPMS,7a5fv40by40and240m,0.08095419313758612,16.678071975708008,0.7252218276262283,7.5,150
QPMS,aa15fv40by40and240m,0.02148261573165655,23.23013401031494,0.9298408776521683,15,300
QPMS,aa20fv40by40and240m,0.023284947033971548,23.112799167633057,0.9294512867927551,20,400
QPMS,aa25fv40by40and240m,0.0429135961458087,19.653053760528564,0.8671917468309402,25,500
QPMS,aa30fv40by40and240m,0.024214231874793768,22.623985290527344,0.9212050884962082,30,600
QPMS,aa35fv40by40and240m,0.020465674810111523,23.61415386199951,0.9309805482625961,35,700
QPMS,aa40fv40by40and240m,0.025668691843748093,22.294837474822998,0.917393833398819,40,800
QPMS,aa5fv40by40and240m,0.1187717504799366,14.892324209213257,0.591538205742836,5,100
QPMS,aa6fv40by40and240m,0.13325691036880016,14.388147592544556,0.5314081236720085,6,150
