detection_type,filename,val_loss,val_psnr,val_ssim
Direct Detection,100n40by40and240m,0.19842545315623283,12.944517135620117,0.3026285022497177
Direct Detection,37n40by40and240m,0.22918269783258438,12.40629506111145,0.25019465014338493
Direct Detection,50n40by40and240m,0.2135842703282833,12.698823690414429,0.265897698700428
Direct Detection,62n40by40and240m,0.1424461156129837,14.225517272949219,0.4480724409222603
Direct Detection,75n40by40and240m,0.22123753279447556,12.69719409942627,0.24136435985565186
Direct Detection,87p5n40by40and240m,0.20385057479143143,12.841864347457886,0.2752952314913273
Direct Detection,a25n40by40and240m,0.4346385523676872,11.742206335067749,0.13397129252552986
QPMS,10fv40by40and240m,0.11626462452113628,15.04078197479248,0.5718555003404617
QPMS,3fv40by40and240m,0.10733652114868164,15.55216908454895,0.588222935795784
QPMS,5fv40by40and240m,0.1098686046898365,15.458088874816895,0.5701815187931061
QPMS,6fv40by40and240m,0.11556197889149189,15.200481653213501,0.5591036230325699
QPMS,7a5fv40by40and240m,0.0980933140963316,15.621683359146118,0.6373428255319595
QPMS,aa15fv40by40and240m,0.06205436773598194,18.09902000427246,0.7515761405229568
QPMS,aa20fv40by40and240m,0.058866823092103004,18.173272132873535,0.7679447382688522
QPMS,aa25fv40by40and240m,0.07098939456045628,17.43612289428711,0.7395965903997421
QPMS,aa30fv40by40and240m,0.051749217323958874,18.89350700378418,0.806914895772934
QPMS,aa35fv40by40and240m,0.042368559166789055,19.654688358306885,0.8383386433124542
QPMS,aa40fv40by40and240m,0.049048627726733685,19.074329376220703,0.821272999048233
QPMS,aa5fv40by40and240m,0.14428626745939255,14.286532878875732,0.47793255001306534
QPMS,aa6fv40by40and240m,0.13102454133331776,14.763502359390259,0.5064792707562447
