detection_type,filename,val_loss,val_psnr,val_ssim
Direct Detection,sNdn40by40and240m,0.10588603094220161,15.837703466415405,0.5983755886554718
QPMS,s0p5tfv40by40and240m,0.018261447083204985,24.064550399780273,0.9416193813085556
QPMS,s100tfv40by40and240m,0.019106446765363216,23.86320924758911,0.9372179806232452
QPMS,s10tfv40by40and240m,0.020575423259288073,23.397155284881592,0.9324079751968384
QPMS,s1tfv40by40and240m,0.017194917891174555,24.434853076934814,0.9470568746328354
QPMS,s200tfv40by40and240m,0.02075316058471799,23.540830612182617,0.9337102174758911
QPMS,s20tfv40by40and240m,0.01887978846207261,23.815804481506348,0.9415024220943451
QPMS,s2tfv40by40and240m,0.017432847525924444,24.61531686782837,0.9462110847234726
QPMS,s500tfv40by40and240m,0.02499890886247158,22.683510780334473,0.9169224053621292
QPMS,s50tfv40by40and240m,0.017830395605415106,24.322163105010986,0.9435353577136993
QPMS,s5tfv40by40and240m,0.019128561951220036,23.774515628814697,0.9359071254730225
QPMS,snnfv40by40and240m,0.02066339598968625,23.42341136932373,0.9346011281013489
