detection_type,filename,val_loss,val_psnr,val_ssim
Direct Detection,annd40by40and240m,0.17516356706619263,13.3060462474823,0.37757765501737595
QPMS,0p5tfv40by40and240m,0.054585082456469536,18.438610076904297,0.8103682100772858
QPMS,100tfv40by40and240m,0.1028679646551609,15.55719780921936,0.6446366161108017
QPMS,10tfv40by40and240m,0.06163559854030609,17.87721061706543,0.7903574854135513
QPMS,1tfv40by40and240m,0.050850375555455685,18.925782203674316,0.8278935551643372
QPMS,200tfv40by40and240m,0.1398973185569048,14.157248497009277,0.5092604979872704
QPMS,20tfv40by40and240m,0.062204403802752495,18.047815322875977,0.7906759232282639
QPMS,2tfv40by40and240m,0.048930984921753407,19.241025924682617,0.828287735581398
QPMS,50tfv40by40and240m,0.08091458305716515,16.54196524620056,0.717340499162674
QPMS,5tfv40by40and240m,0.06370003335177898,17.860576629638672,0.777751550078392
QPMS,nnfv40by40and240m,0.04588077962398529,19.606144428253174,0.8515269905328751
