detection_type,filename,val_loss,val_psnr,val_ssim
Direct Detection,annd40by40and240m,0.16452563554048538,13.642226219177246,0.414900578558445
QPMS,0p5tfv40by40and240m,0.04599434323608875,19.36930227279663,0.8457585126161575
QPMS,100tfv40by40and240m,0.11305850557982922,15.19126033782959,0.6216570287942886
QPMS,10tfv40by40and240m,0.06037748884409666,17.870543956756592,0.7958038449287415
QPMS,1tfv40by40and240m,0.04677182529121637,19.403742790222168,0.8424309194087982
QPMS,200tfv40by40and240m,0.13490120321512222,14.356777667999268,0.5157675296068192
QPMS,20tfv40by40and240m,0.053356931544840336,18.73224115371704,0.8219213783740997
QPMS,2tfv40by40and240m,0.053535958752036095,18.586390018463135,0.8291489332914352
QPMS,50tfv40by40and240m,0.0773120354861021,16.712562561035156,0.7209486216306686
QPMS,5tfv40by40and240m,0.055567316710948944,18.370850563049316,0.8141482472419739
QPMS,nnfv40by40and240m,0.04207138158380985,19.867270469665527,0.868831679224968
