detection_type,filename,val_loss,val_psnr,val_ssim,noise
Direct Detection,annd40by40and240m,0.15468144789338112,13.995743036270142,0.4373127594590187,0
QPMS,0p5tfv40by40and240m,0.048099433071911335,18.88378667831421,0.8415611982345581,0.5
QPMS,100tfv40by40and240m,0.1018704753369093,15.455771684646606,0.6424688696861267,100
QPMS,10tfv40by40and240m,0.059027296490967274,18.116288661956787,0.8176806718111038,10
QPMS,1tfv40by40and240m,0.050791374407708645,18.763132572174072,0.832397997379303,1
QPMS,200tfv40by40and240m,0.1396360881626606,14.266427993774414,0.5109867379069328,200
QPMS,20tfv40by40and240m,0.06349553354084492,17.798901557922363,0.7869740873575211,20
QPMS,2tfv40by40and240m,0.04275881499052048,19.4908709526062,0.8582575768232346,2
QPMS,50tfv40by40and240m,0.0720864562317729,17.128856658935547,0.7477049380540848,50
QPMS,5tfv40by40and240m,0.057368953712284565,18.41597604751587,0.8097794204950333,5
QPMS,nnfv40by40and240m,0.03718093130737543,20.37260103225708,0.8784624636173248,0
